Dimensión,Subcategoria,Indicador,Dato,Unidad de medida,Año,Fuente
Ambiente,"Biodiversidad y servicios ecosistémicos: Área en el SINAP
",Área de la entidad territorial que hace parte del SINAP,0,Hectáreas,2017,"Parques Nacionales Naturales
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje de área en el SINAP
",Porcentaje del área de la entidad territorial que hace parte del SINAP,0,Porcentaje,2017,DNP a partir de información en Parques Nacionales Naturales
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje de área en el SINAP
",Porcentaje del área departamental en el SINAP que se encuentra en el municipio,0,Porcentaje,2017,DNP a partir de información en Parques Nacionales Naturales
Ambiente,"Biodiversidad y servicios ecosistémicos: Área en ecosistemas estratégicos
",Área de humedales,304.38,Hectáreas,2016,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Área en ecosistemas estratégicos
",Área de páramos,0,Hectáreas,2016,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Área en ecosistemas estratégicos
",Área de bosque seco tropical,0,Hectáreas,2014,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Área en ecosistemas estratégicos
",Área de manglares,0,Hectáreas,2014,"Sistema de Información para la Gestión de los Manglares en Colombia - SIGMA
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Área en ecosistemas estratégicos
",Área total de ecosistemas estratégicos,304.38,Hectáreas,2017,DNP a partir de información en el Instituto Humboldt y SIGMA
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área de humedales,2.72,Porcentaje,2016,DNP a partir de información en el Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área de páramos,0,Porcentaje,2016,DNP a partir de información en el Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área de bosque seco tropical,0,Porcentaje,2014,DNP a partir de información en el Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área de manglares,0,Porcentaje,2014,DNP a partir de información en el Sistema de Información para la Gestión de los Manglares en Colombia - SIGMA
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área total de ecosistemas estratégicos,2.72,Porcentaje,2017,DNP a partir de información en el Instituto Humboldt y SIGMA
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área departamental en humedales que se encuentra en el municipio,2.11,Porcentaje,2016,DNP a partir de información en el Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área departamental en páramos que se encuentra en el municipio,0,Porcentaje,2016,DNP a partir de información en el Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área departamental en bosque seco tropical que se encuentra en el municipio,0,Porcentaje,2014,DNP a partir de información en el Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
Ambiente,"Biodiversidad y servicios ecosistémicos: Porcentaje del área en ecosistemas estratégicos
",Porcentaje del área departamental en manglares que se encuentra en el municipio,,Porcentaje,2014,DNP a partir de información en el Sistema de Información para la Gestión de los Manglares en Colombia - SIGMA
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área de bosque estable de la entidad territorial,761.03,Hectáreas,2000,"IDEAM
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área de bosque estable de la entidad territorial,398.61,Hectáreas,2005,"IDEAM
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área de bosque estable de la entidad territorial,298.16,Hectáreas,2010,"IDEAM
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área de bosque estable de la entidad territorial,247.55,Hectáreas,2012,"IDEAM
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área de bosque estable de la entidad territorial,230.53,Hectáreas,2013,"IDEAM
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área de bosque estable de la entidad territorial,230.41,Hectáreas,2014,"IDEAM
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área de bosque estable de la entidad territorial,232.7,Hectáreas,2015,"IDEAM
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área de bosque estable de la entidad territorial,230.67,Hectáreas,2016,"IDEAM
"
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Área deforestada en la entidad territorial,18.99,Hectáreas,2000,"IDEAM
"
